id,title,authors,primary_category,categories,summary,published,doi
2311.18401,A relation between Krylov and Nielsen complexity,Ben Craps ; Oleg Evnin ; Gabriele Pascuzzi,quant-ph,quant-ph hep-th,"Krylov complexity and Nielsen complexity are successful approaches to quantifying quantum evolution complexity that have been actively pursued without much contact between the two lines of research. The two quantities are motivated by quantum chaos and quantum computation, respectively, while the relevant mathematics is as different as matrix diagonalization algorithms and geodesic flows on curved manifolds. We demonstrate that, despite these differences, there is a relation between the two quantities. Namely, the time average of Krylov complexity of state evolution can be expressed as a trace of a certain matrix, which also controls an upper bound on Nielsen complexity with a specific custom-tailored penalty schedule adapted to the Krylov basis.",2023-11-30 09:51:22+00:00,10.1103/PhysRevLett.132.160402
2204.02250,Krylov Complexity in Quantum Field Theory,Kiran Adhikari ; Sayantan Choudhury ; Abhishek Roy,hep-th,hep-th cond-mat.stat-mech gr-qc hep-ph quant-ph,"In this paper, we study the Krylov complexity in quantum field theory and make a connection with the holographic ""Complexity equals Volume"" conjecture. When Krylov basis matches with Fock basis, for several interesting settings, we observe that the Krylov complexity equals the average particle number showing that complexity scales with volume. Using similar formalism, we compute the Krylov complexity for free scalar field theory and find surprising similarities with holography. We also extend this framework for field theory where an inverted oscillator appears naturally and explore its chaotic behavior.",2022-04-05 14:42:10+00:00,10.1016/j.nuclphysb.2023.116263
2109.03824,Geometry of Krylov Complexity,Pawel Caputa ; Javier M. Magan ; Dimitrios Patramanis,hep-th,hep-th cond-mat.stat-mech cond-mat.str-el quant-ph,"We develop a geometric approach to operator growth and Krylov complexity in many-body quantum systems governed by symmetries. We start by showing a direct link between a unitary evolution with the Liouvillian and the displacement operator of appropriate generalized coherent states. This connection maps operator growth to a purely classical motion in phase space. The phase spaces are endowed with a natural information metric. We show that, in this geometry, operator growth is represented by geodesics and Krylov complexity is proportional to a volume. This geometric perspective also provides two novel avenues towards computation of Lanczos coefficients and sheds new light on the origin of their maximal growth. We describe the general idea and analyze it in explicit examples among which we reproduce known results from the Sachdev-Ye-Kitaev model, derive operator growth based on SU(2) and Heisenberg-Weyl symmetries, and generalize the discussion to conformal field theories. Finally, we use techniques from quantum optics to study operator evolution with quantum information tools such as entanglement and Renyi entropies, negativity, fidelity, relative entropy and capacity of entanglement.",2021-09-08 18:00:00+00:00,10.48550/2109.03824
2104.09514,Krylov complexity in conformal field theory,Anatoly Dymarsky ; Michael Smolkin,hep-th,hep-th cond-mat.stat-mech,"Krylov complexity, or K-complexity for short, has recently emerged as a new probe of chaos in quantum systems. It is a measure of operator growth in Krylov space, which conjecturally bounds the operator growth measured by the out of time ordered correlator (OTOC). We study Krylov complexity in conformal field theories by considering arbitrary 2d CFTs, free field, and holographic models. We find that the bound on OTOC provided by Krylov complexity reduces to bound on chaos of Maldacena, Shenker, and Stanford. In all considered examples including free and rational CFTs Krylov complexity grows exponentially, in stark violation of the expectation that exponential growth signifies chaos.",2021-04-19 18:00:01+00:00,10.1103/PhysRevD.104.L081702
1812.08657,A Universal Operator Growth Hypothesis,Daniel E. Parker ; Xiangyu Cao ; Alexander Avdoshkin ; Thomas Scaffidi ; Ehud Altman,cond-mat.stat-mech,cond-mat.stat-mech cond-mat.str-el hep-th nlin.CD quant-ph,"We present a hypothesis for the universal properties of operators evolving under Hamiltonian dynamics in many-body systems. The hypothesis states that successive Lanczos coefficients in the continued fraction expansion of the Green's functions grow linearly with rate $\alpha$ in generic systems, with an extra logarithmic correction in 1d. The rate $\alpha$ --- an experimental observable --- governs the exponential growth of operator complexity in a sense we make precise. This exponential growth even prevails beyond semiclassical or large-$N$ limits. Moreover, $\alpha$ upper bounds a large class of operator complexity measures, including the out-of-time-order correlator. As a result, we obtain a sharp bound on Lyapunov exponents $\lambda_L \leq 2 \alpha$, which complements and improves the known universal low-temperature bound $\lambda_L \leq 2 \pi T$. We illustrate our results in paradigmatic examples such as non-integrable spin chains, the Sachdev-Ye-Kitaev model, and classical models. Finally we use the hypothesis in conjunction with the recursion method to develop a technique for computing diffusion constants.",2018-12-20 16:02:40+00:00,10.1103/PhysRevX.9.041017
2212.00043,From Complexity Geometry to Holographic Spacetime,Johanna Erdmenger ; Marius Gerbershagen ; Michal P. Heller ; Anna-Lena Weigel,hep-th,hep-th quant-ph,"An important conjecture within the AdS/CFT correspondence relates holographic spacetime to the quantum computational complexity of the dual quantum field theory. However, the quantitative understanding of this relation is still an open question. In this work, we introduce and study a map between a computational complexity measure and its holographic counterpart from first principles. We consider quantum circuits built out of conformal transformations in two-dimensional conformal field theory and a complexity measure based on assigning a cost to quantum gates via the Fubini-Study distance. We find a novel geometric object in three-dimensional anti-de Sitter spacetimes that is dual to this distance. This duality also provides a more general map between holographic geometry of anti-de Sitter universes and complexity geometry as defined in information theory, in which each point represents a state and distances between states are measured by the Fubini-Study metric. We apply the newly found duality to the eternal black hole spacetime and discuss both the origin of linear growth of complexity and the switchback effect within our approach.",2022-11-30 19:00:02+00:00,10.48550/2212.00043
0808.4094,Entanglement Entropy and Twist Fields,Michele Caraglio ; Ferdinando Gliozzi,hep-th,hep-th cond-mat.stat-mech hep-lat,"The entanglement entropy of a subsystem of a quantum system is expressed, in the replica approach, through analytic continuation with respect to n of the trace of the n-th power of the reduced density matrix. This trace can be thought of as the vacuum expectation value of a suitable observable in a system made with n independent copies of the original system. We use this property to numerically evaluate it in some two-dimensional critical systems, where it can be compared with the results of Calabrese and Cardy, who wrote the same quantity in terms of correlation functions of twist fields of a conformal field theory. Although the two calculations match perfectly even in finite systems when the analyzed subsystem consists of a single interval, they disagree whenever the subsystem is composed of more than one connected part. The reasons of this disagreement are explained.",2008-08-29 13:06:06+00:00,10.1088/1126-6708/2008/11/076
1006.0047,Entanglement Renyi entropies in holographic theories,Matthew Headrick,hep-th,hep-th cond-mat.stat-mech quant-ph,"Ryu and Takayanagi conjectured a formula for the entanglement (von Neumann) entropy of an arbitrary spatial region in an arbitrary holographic field theory. The von Neumann entropy is a special case of a more general class of entropies called Renyi entropies. Using Euclidean gravity, Fursaev computed the entanglement Renyi entropies (EREs) of an arbitrary spatial region in an arbitrary holographic field theory, and thereby derived the RT formula. We point out, however, that his EREs are incorrect, since his putative saddle points do not in fact solve the Einstein equation. We remedy this situation in the case of two-dimensional CFTs, considering regions consisting of one or two intervals. For a single interval, the EREs are known for a general CFT; we reproduce them using gravity. For two intervals, the RT formula predicts a phase transition in the entanglement entropy as a function of their separation, and that the mutual information between the intervals vanishes for separations larger than the phase transition point. By computing EREs using gravity and CFT techniques, we find evidence supporting both predictions. We also find evidence that large-$N$ symmetric-product theories have the same EREs as holographic ones.",2010-06-01 02:30:12+00:00,10.1103/PhysRevD.82.126010
2209.15477,Delicate windows into evaporating black holes,Ben Craps ; Juan Hernandez ; Mikhail Khramtsov ; Maria Knysh,hep-th,hep-th gr-qc,"We revisit the model of an AdS$_2$ black hole in JT gravity evaporating into an external bath. We study when, and how much, information about the black hole interior can be accessed through different portions of the Hawking radiation collected in the bath, and we obtain the corresponding full quantitative Page curves. As a refinement of previous results, we describe the island phase transition for a semi-infinite segment of radiation in the bath, establishing access to the interior for times within the regime of applicability of the model. For finite-size segments in the bath, one needs to include the purifier of the black hole microscopic dual together with the radiation segment in order to access the interior information. We identify four scenarios of the entropy evolution in this case, including a possibility where the interior reconstruction window is temporarily interrupted. Analyzing the phase structure of the Page curve of a finite segment with length comparable to the Page time, we demonstrate that it is very sensitive to changes of the parameters of the model. We also discuss the evolution of the subregion complexity of the radiation during the black hole evaporation.",2022-09-30 14:00:02+00:00,10.1007/JHEP02(2023)080
2103.12798,Time-periodicities in holographic CFTs,Ben Craps ; Marine De Clerck ; Oleg Evnin,hep-th,hep-th,"Dynamics in AdS spacetimes is characterized by various time-periodicities. The most obvious of these is the time-periodic evolution of linearized fields, whose normal frequencies form integer-spaced ladders as a direct consequence of the structure of representations of the conformal group. There are also explicitly known time-periodic phenomena on much longer time scales inversely proportional to the coupling in the weakly nonlinear regime. We ask what would correspond to these long time periodicities in a holographic CFT, provided that such a CFT reproducing the AdS bulk dynamics in the large central charge limit has been found. The answer is a very large family of multiparticle operators whose conformal dimensions form simple ladders with spacing inversely proportional to the central charge. We give an explicit demonstration of these ideas in the context of a toy model holography involving a $\phi^4$ probe scalar field in AdS, but we expect the applicability of the underlying structure to be much more general.",2021-03-23 19:02:47+00:00,10.1007/JHEP09(2021)030
2301.07108,Quantum Error Correction from Complexity in Brownian SYK,Vijay Balasubramanian ; Arjun Kar ; Cathy Li ; Onkar Parrikar ; Harshit Rajgadia,hep-th,hep-th quant-ph,"We study the robustness of quantum error correction in a one-parameter ensemble of codes generated by the Brownian SYK model, where the parameter quantifies the encoding complexity. The robustness of error correction by a quantum code is upper bounded by the ""mutual purity"" of a certain entangled state between the code subspace and environment in the isometric extension of the error channel, where the mutual purity of a density matrix $\rho_{AB}$ is the difference $\mathcal{F}_\rho (A:B) \equiv \mathrm{Tr}\;\rho_{AB}^2 - \mathrm{Tr}\;\rho_A^2\;\mathrm{Tr}\;\rho_B^2$. We show that when the encoding complexity is small, the mutual purity is $O(1)$ for the erasure of a small number of qubits (i.e., the encoding is fragile). However, this quantity decays exponentially, becoming $O(1/N)$ for $O(\log N)$ encoding complexity. Further, at polynomial encoding complexity, the mutual purity saturates to a plateau of $O(e^{-N})$. We also find a hierarchy of complexity scales associated to a tower of subleading contributions to the mutual purity that quantitatively, but not qualitatively, adjust our error correction bound as encoding complexity increases. In the AdS/CFT context, our results suggest that any portion of the entanglement wedge of a general boundary subregion $A$ with sufficiently high encoding complexity is robustly protected against low-rank errors acting on $A$ with no prior access to the encoding map. From the bulk point of view, we expect such bulk degrees of freedom to be causally inaccessible from the region $A$ despite being encoded in it.",2023-01-17 19:00:00+00:00,10.1007/JHEP08(2023)071
2401.13852,First-order relativistic hydrodynamics with an information current,Lorenzo Gavassino ; Nick Abboud ; Enrico Speranza ; Jorge Noronha,nucl-th,nucl-th gr-qc hep-th,"We show that it is possible to define a timelike future-directed information current within relativistic first-order hydrodynamics. This constitutes the first step toward a covariantly stable and causal formulation of first-order fluctuating hydrodynamics based on thermodynamic principles. We provide several explicit examples of first-order theories with an information current, covering many physical phenomena, ranging from electric conduction to viscosity and elasticity. We use these information currents to compute the corresponding equal-time correlation functions, and we find that the physically relevant (equal-time) correlators do not depend on the choice of the hydrodynamic frame as long as the frame leads to causal and stable dynamics. In the example of chiral hydrodynamics, we find that circularly polarized shear waves have different probabilities of being excited depending on their handedness, generating net helicity in chiral fluids.",2024-01-24 23:22:24+00:00,10.1103/PhysRevD.109.085013
2401.13963,Hawking-Page transition on a spin chain,David Pérez-García ; Leonardo Santilli ; Miguel Tierz,quant-ph,quant-ph cond-mat.str-el hep-th,"The accessibility of the Hawking-Page transition in AdS$_5$ through a 1d Heisenberg spin chain is demonstrated. We use the random matrix formulation of the Loschmidt echo for a set of spin chains, and randomize the ferromagnetic spin interaction. It is shown that the thermal Loschmidt echo, when averaged, detects the predicted increase in entropy across the Hawking-Page transition. This suggests that a 1d spin chain exhibits characteristics of black hole physics in 4+1 dimensions. We show that this approach is equally applicable to free fermion systems with a general dispersion relation.",2024-01-25 05:51:33+00:00,10.48550/2401.13963
2304.03236,Nonlinear Response in Diffusive Systems,Luca V. Delacretaz ; Ruchira Mishra,cond-mat.str-el,cond-mat.str-el cond-mat.stat-mech hep-th,"Nonintegrable systems thermalize, leading to the emergence of fluctuating hydrodynamics. Typically, this hydrodynamics is diffusive. We use the effective field theory (EFT) of diffusion to compute higher-point functions of conserved densities. We uncover a simple scaling behavior of correlators at late times, and, focusing on three and four-point functions, derive the asymptotically exact universal scaling functions that characterize nonlinear response in diffusive systems. This allows for precision tests of thermalization beyond linear response in quantum and classical many-body systems. We confirm our predictions in a classical lattice gas.",2023-04-06 17:17:51+00:00,10.21468/SciPostPhys.16.2.047
2401.13595,Emergent Holographic Forces from Tensor Networks and Criticality,Rahul Sahay ; Mikhail D. Lukin ; Jordan Cotler,quant-ph,quant-ph cond-mat.quant-gas cond-mat.str-el hep-th,"The AdS/CFT correspondence stipulates a duality between conformal field theories and certain theories of quantum gravity in one higher spatial dimension. However, probing this conjecture on contemporary classical or quantum computers is challenging. We formulate an efficiently implementable multi-scale entanglement renormalization ansatz (MERA) model of AdS/CFT providing a mapping between a (1+1)-dimensional critical spin system and a (2+1)-dimensional bulk theory. Using a combination of numerics and analytics, we show that the bulk theory arising from this optimized tensor network furnishes excitations with attractive interactions. Remarkably, these excitations have one- and two-particle energies matching the predictions for matter coupled to AdS gravity at long distances, thus displaying key features of AdS physics. We show that these potentials arise as a direct consequence of entanglement renormalization and discuss how this approach can be used to efficiently simulate bulk dynamics using realistic quantum devices.",2024-01-24 17:03:03+00:00,10.48550/2401.13595
2401.12294,Nearly critical superfluid: effective field theory and holography,Yanyan Bu ; Hongfei Gao ; Xin Gao ; Zhiwei Li,hep-th,hep-th,"We study a nearly critical superfluid system from two complementary approaches. Within the first approach, we formulate a Schwinger-Keldysh effective field theory (EFT) for the system when it is located slightly above the critical temperature. . The set of symmetries, particularly the dynamical Kubo-Martin-Schwinger (KMS) symmetry and chemical shift symmetry, strictly constrains the form of EFT action. Within the second approach, using the holographic Schwinger-Keldysh technique, we derive the effective action for a ``microscopic'' holographic superfluid, confirming the EFT construction. A systematic inclusion of non-Gaussianity is one highlight of present study.",2024-01-22 19:00:10+00:00,10.48550/2401.12294
2401.13292,Transport and information in open quantum systems,Kasper Poulsen,quant-ph,quant-ph cond-mat.mes-hall cond-mat.stat-mech,"With the approaching second quantum revolution, the study of quantum thermodynamics, particularly heat flow, has become even more relevant for two main reasons. First, understanding heat and other types of noise is essential for protecting quantum information and preventing decoherence. Second, the ability to manufacture and control quantum systems developed for the quantum computer allows for experimental study of quantum thermodynamics in entirely new settings. In this thesis, several systems involving quantum systems in contact with baths are studied theoretically in experimentally available settings. First, two rectification or diode setups for heat currents are proposed using a dark-state mechanism. In one system, the dark-state mechanism is imperfect but very robust. In the other system, the dark-state mechanism relies on quantum entanglement and is much better but more fragile towards decoherence. Next, a quantum version of the Wheatstone bridge is built using the same entanglement-powered dark state mechanism. After having studied several boundary-driven quantum systems, the lessons learned are generalized into resonance conditions using a general linear chain of weakly interacting chains of strongly interacting spins. The final two chapters focus on the ability to study statistical physics in realizable quantum systems. First, a Maxwell's demon setup is proposed. A demon-controlled qutrit is coupled to two non-Markovian baths. The information back-flow from the non-Markovian baths allows the demon to more effectively transfer heat from the cold bath to the hot bath. Second, the Mott insulator to superfluid phase transition in a lattice of transmons is examined. The ground state has a variable particle number and is prepared using adiabatic state preparation. This allows for the exploration of the entire phase diagram.",2024-01-24 08:26:48+00:00,10.48550/2401.13292
2401.13039,Penrose process in Reissner-Nordström-AdS black hole spacetimes: Black hole energy factories and black hole bombs,Duarte Feiteira ; José P. S. Lemos ; Oleg B. Zaslavskii,gr-qc,gr-qc astro-ph.HE hep-th,"The Penrose process for the decay of electrically charged particles in a Reissner-Nordstr\""om-anti-de Sitter black hole spacetime is studied. To extract large quantities of energy one needs to mount a recursive Penrose process where particles are confined and can bounce back to suffer ever again a decaying process in the black hole electric ergoregion. In an asymptotically anti-de Sitter (AdS) spacetime, two situations of confinement are possible. One situation uses a reflecting mirror at some radius, which obliges the energetic outgoing particles to return to the decaying point. The other situation uses the natural AdS property that sends back at some intrinsic returning radius those outgoing energetic particles. In addition, besides the conservation laws the decaying process must obey, one has to set conditions at the decaying point for the particles debris. These conditions restrain the possible scenarios, but there are still a great number of available scenarios for the decays. Within these, we choose two scenarios, scenario 1 and scenario 2, that pertain to the masses and electric charges of the final particles. Thus, in the mirror situation we find that scenario 1 leads to a black hole energy factory, and scenario 2 ends in a black hole bomb. In the no mirror situation, i.e., pure Reissner-Nordstr\""om-AdS, scenario 1 leads again to a black hole energy factory, but scenario 2 yields no bomb. This happens because the volume in which the particles are confined increases to infinity along the chain of decays, leading to a zero value of the extracted energy per unit volume and the bomb is demined. The whole treatment performed here involves no backreaction on the black hole mass and electric charge, nevertheless we speculate that the end state of the recursive process is a Reissner-Nordstr\""om-AdS black hole with very short hair, i.e., with one particle at rest at some definite radius.",2024-01-23 19:00:06+00:00,10.1103/PhysRevD.109.064065
2401.13633,A measure of chaos from eigenstate thermalization hypothesis,Nilakash Sorokhaibam,quant-ph,quant-ph cond-mat.stat-mech hep-th nlin.CD,"Eigenstate thermalization hypothesis is a detailed statement of the matrix elements of few-body operators in energy eigenbasis of a chaotic Hamiltonian. Part of the statement is that the off-diagonal elements fall exponential for large energy difference. We propose that the exponent ($\gamma>0$) is a measure of quantum chaos. Smaller $\gamma$ implies more chaotic dynamics. The chaos bound is given by $\gamma=\beta/4$ where $\beta$ is the inverse temperature. We give analytical argument in support of this proposal. The slower exponential fall also means that the action of the operator on a state leads to higher delocalization in energy eigenbasis. Numerically we compare two chaotic Hamiltonians - SYK model and chaotic XXZ spin chain. Using the new measure, we find that the SYK model becomes maximally chaotic at low temperature which has been shown rigorously in previous works. The new measure is more readily accessible compare to other measures using numerical methods.",2024-01-24 18:01:49+00:00,10.48550/2401.13633
2401.13075,The 0th and 2nd Laws of Black Hole Mechanics in Einstein-Maxwell-Scalar Effective Field Theory,Iain Davies,gr-qc,gr-qc hep-th,There has been recent progress in extending the 0th and 2nd laws of black hole mechanics to gravitational effective field theories (EFTs). We generalize these results to a much larger class of EFTs describing gravity coupled to electromagnetism and a real scalar field. We also show that the 0th law holds for the EFT of gravity coupled to electromagnetism and a charged scalar field.,2024-01-23 19:58:56+00:00,10.48550/2401.13075
2306.17296,Thermodynamic phase transition of modified Anti-de Sitter Reissner-Nordström black holes with generalized gauge invariant Einstein-Maxwell gravity,Hossein Ghaffarnejad ; Elham Ghasemi,gr-qc,gr-qc hep-th,"We generalize the Einstein Maxwell gravity by an additional term which is made by contraction of the Ricci tensor and the electromagnetic antisymmetric Maxwell tensor field, to study thermodynamic of a modified Reissner-Nordstr\""{o}m (RN) black hole. Our motivation in use of this exotic form of the gravity theory instead of the ordinary EM gravity is based on influence of cosmic magnetic field throughout the spacetime as inevitable effect at duration of cosmic inflation. While in ordinary models of inflationary cosmology the dark energy sector is just considered. Dynamical field equations are nonlinear and so they have not exact analytic solutions in general form. On the other side to find equation of state of a back hole by horizon equation we need an analytic form of the metric field solutions. Hence we use dynamical system approach to obtain analytic metric solutions near the critical points of secular equation of the corresponding Jacobi matrix. we investigated stabilization situations of the obtained metric fields and finding equations of state of modified RN AdS black hole, the Hawking temperature and possibility of phase transitions.",2023-06-22 13:02:35+00:00,10.48550/2306.17296
